"","age_group","num_hosp","num_death","perc_death"
"1","18-49 years",5075,86,0.0166634373183492
"2","50-64 years",3547,256,0.067315277412569
"3","65-74 years",3648,442,0.108068459657702
"4","75+ years",7120,1678,0.190725164810184
"5","0-17 years",0,0,0.01666344
